Transaction Date,Customer ID,Description,Stock Code,Invoice No,Quantity,Sales,Unit Price,Date,Category,Profit,Cost,Total Profit
2020-12-01 08:26:00,17850.0,Dog and Puppy Pads,85123A,536365.0,1,15.3,15.3,2020-12-01,Disposables,4.300000000000001,11,4.300000000000001
2020-12-01 08:34:00,13047.0,Pet Odor Eliminator,84879,536367.0,6,60.84,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,12.840000000000003
2020-12-01 08:34:00,13047.0,Rechargeable Pet Nail Grinder,22960,536368.0,1,25.5,25.5,2020-12-01,Grooming,5.5,20,5.5
2020-12-01 09:00:00,13748.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536371.0,14,214.2,15.3,2020-12-01,Disposables,-2.6999999999999993,18,-37.79999999999999
2020-12-01 09:02:00,17850.0,Dog and Puppy Pads,85123A,536373.0,1,15.3,15.3,2020-12-01,Disposables,4.300000000000001,11,4.300000000000001
2020-12-01 09:32:00,15291.0,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,22114,536376.0,8,165.6,20.7,2020-12-01,Grooming,7.699999999999999,13,61.599999999999994
2020-12-01 09:32:00,17850.0,Dog and Puppy Pads,85123A,536375.0,1,15.3,15.3,2020-12-01,Disposables,4.300000000000001,11,4.300000000000001
2020-12-01 09:37:00,14688.0,Milk-Bone MaroSnacks Dog Treats with Real Bone,22386,536378.0,2,23.4,11.7,2020-12-01,Food,-2.3000000000000007,14,-4.600000000000001
2020-12-01 09:37:00,14688.0,Pet Grooming Brush,20725,536378.0,2,19.8,9.9,2020-12-01,Grooming,0.9000000000000004,9,1.8000000000000007
2020-12-01 09:41:00,15311.0,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,22086,536381.0,1,17.7,17.7,2020-12-01,Disposables,-0.3000000000000007,18,-0.3000000000000007
2020-12-01 09:53:00,18074.0,NexGard Chew for Dogs,82484,536384.0,1,38.7,38.7,2020-12-01,Food,1.7000000000000028,37,1.7000000000000028
2020-12-01 09:56:00,17420.0,Rechargeable Pet Nail Grinder,22960,536385.0,1,25.5,25.5,2020-12-01,Grooming,5.5,20,5.5
2020-12-01 09:57:00,16029.0,Earth Rated Dog Poop Bags,85099B,536386.0,17,168.3,9.9,2020-12-01,Disposables,0.9000000000000004,9,15.300000000000006
2020-12-01 09:58:00,16029.0,ProBiotic Supplements for Dogs,79321,536387.0,32,733.44,22.92,2020-12-01,Supplements,-6.079999999999998,29,-194.55999999999995
2020-12-01 10:19:00,17511.0,Dog and Puppy Pads,85123A,536390.0,11,168.3,15.3,2020-12-01,Disposables,4.300000000000001,11,47.30000000000001
2020-12-01 10:19:00,17511.0,Earth Rated Dog Poop Bags,85099B,536390.0,17,168.3,9.9,2020-12-01,Disposables,0.9000000000000004,9,15.300000000000006
2020-12-01 10:19:00,17511.0,Rechargeable Pet Nail Grinder,22960,536390.0,2,45.0,22.5,2020-12-01,Grooming,2.5,20,5.0
2020-12-01 10:19:00,17511.0,Sheba Perfect Portions Pat Wet Cat Food,22197,536390.0,17,73.44,4.32,2020-12-01,Food,-0.6799999999999997,5,-11.559999999999995
2020-12-01 10:29:00,13705.0,Indoor Pet Camera (Wi-Fi),22502,536392.0,1,35.7,35.7,2020-12-01,Electronics,-7.299999999999997,43,-7.299999999999997
2020-12-01 10:29:00,13705.0,Pet Odor Eliminator,84879,536392.0,3,30.42,10.14,2020-12-01,Cleanig Supplies,2.1400000000000006,8,6.420000000000002
